Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Initial_Cost_Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,2068.772,24825.26,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (3000 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,650.64,7807.68,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5n.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Initial_Cost_Estimate,US East (N. Virginia),Database Servers,Amazon RDS for MySQL,0,3222.4,38668.8,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Quantity (2), Instance type (db.m1.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (3000 GB), Total Size of Backup Processed for Export (GB) (10000 per month), Cost for one month of retention (per vCPU per month) (1.5000000000), Cost for total retention (per vCPU per month) (1.50)"
Initial_Cost_Estimate,US East (N. Virginia),S3,S3 Standard,0,1150,13800,USD,,S3 Standard storage (50000 GB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3,S3 Intelligent - Tiering,0,231.6,2779.2,USD,,"S3 INT Average Object Size (16 MB), Percentage of Storage in INT-Frequent Access Tier (1), S3 INT storage (10000 GB per month)"
Initial_Cost_Estimate,US East (N. Virginia),S3,S3 Standard - Infrequent Access,0,125,1500,USD,,S3 Standard-IA storage (10000 GB per month)
Initial_Cost_Estimate,US East (N. Virginia),S3,S3 Glacier Deep Archive,0,10.03,120.36,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (10000 GB per month)"
Initial_Cost_Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0,USD,,
Initial_Cost_Estimate,US East (N. Virginia),VPC,VPN Connection,0,0,0,USD,,Working days per month (22)
Initial_Cost_Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,167.85,2014.2,USD,,Number of NAT Gateways (1)
Initial_Cost_Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,208,2496,USD,,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (2)"
Initial_Cost_Estimate,US East (N. Virginia),Load Balancers,Application Load Balancer,0,600.43,7205.16,USD,,Number of Application Load Balancers (1)
Initial_Cost_Estimate,US East (N. Virginia),Load Balancers,Network Load Balancer,0,454.43,5453.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (10 per second), Average TCP connection duration (30 seconds)"
Initial_Cost_Estimate,US East (N. Virginia),CloudWatch Logs,Amazon CloudWatch,0,351.70001,4220.4,USD,,"Number of Metrics (includes detailed and custom metrics) (100), Number of Dashboards (1), Number of Standard Resolution Alarm Metrics (10), Number of High Resolution Alarm Metrics (10), Number of composite alarms (10), Number of alarms defined with a Metrics Insights query (10), Average number of metrics scanned by each Metrics Insights query (10), Number of Custom/Cross-account events (10), Standard Logs: Data Ingested (100 GB), Logs Delivered to CloudWatch Logs: Data Ingested (500 GB)"
Initial_Cost_Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,255,3060,USD,,Data transfer out to internet (3000 GB per month)
