Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6483.150000000001,77797.80,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Reduced Cost Estimate,US East (N. Virginia),Web Servers,Amazon EC2 ,0,722.944,8675.33,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (3000 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced Cost Estimate,US East (N. Virginia),Application Servers,Amazon EC2 ,0,732.4,8788.80,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (c5.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Reduced Cost Estimate,US East (N. Virginia),Database Servers,Amazon RDS for MySQL,0,2095.4,25144.80,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
Reduced Cost Estimate,US East (N. Virginia),S3,S3 Standard,0,1150,13800.00,USD,,S3 Standard storage (50000 GB per month)
Reduced Cost Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,,
Reduced Cost Estimate,US East (N. Virginia),VPC,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Reduced Cost Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,167.85,2014.20,USD,,Number of NAT Gateways (1)
Reduced Cost Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,208,2496.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (2)"
Reduced Cost Estimate,US East (N. Virginia),Load Balancers,Application Load Balancer,0,600.43,7205.16,USD,,Number of Application Load Balancers (1)
Reduced Cost Estimate,US East (N. Virginia),Load Balancers,Network Load Balancer,0,454.43,5453.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (10 per second), Average TCP connection duration (30 seconds)"
Reduced Cost Estimate,US East (N. Virginia),CloudWatch Logs,Amazon CloudWatch,0,351.70001,4220.40,USD,,"Number of Metrics (includes detailed and custom metrics) (100), Number of Dashboards (2), Number of Standard Resolution Alarm Metrics (10), Number of High Resolution Alarm Metrics (10), Number of composite alarms (10), Number of alarms defined with a Metrics Insights query (10), Average number of metrics scanned by each Metrics Insights query (10), Number of Custom/Cross-account events (10), Standard Logs: Data Ingested (100 GB), Logs Delivered to CloudWatch Logs: Data Ingested (500 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
